name,personality,total votes,first letter votes percentage,second letter votes percentage,third letter votes percentage,fourth letter votes percentage,first function,second function,third function,fourth function,Instinctual_Variant_type,Tritype_type,Socionics_type,Big5_type,Attitudinal_Psyche_type,Temperaments_type,fourletters_type_votes,Instinctual_Variant_total_votes,Tritype_total_votes,Socionics_total_votes,Big5_total_votes,Attitudinal_Psyche_total_votes,Temperaments_total_votes,Instinctual_Variant_type_votes,Tritype_type_votes,Socionics_type_votes,Big5_type_votes,Attitudinal_Psyche_type_votes,Temperaments_type_votes
Danielle (NewJeans),enfj,170,99%,90%,94%,68%,Fe,Ni,Se,Ti,so/sx,279,EIE,SCOAI,VLFE,Sanguine-Phlegmatic,101,20,20,11,16,8,18,13,7,8,10,5,12
Kanae,enfj,163,80%,99%,76%,75%,Fe,Ni,Se,Ti,so/sp,379,ILE,SCUAI,LEFV,Melancholic-Phlegmatic,117,22,26,9,5,3,17,13,13,4,3,2,8
Lea Michele,enfj,146,99%,88%,79%,99%,Fe,Ni,Se,Ti,so/sp,386,EIE,SLOEI,VEFL,Choleric [Dominant],100,22,13,7,6,3,14,12,9,7,6,3,13
"Minnie, (G)I-DLE",enfj,163,98%,91%,96%,87%,Fe,Ni,Se,Ti,so/sx,217,ESE,SLOAI,EVFL,Sanguine-Melancholic,134,14,11,7,6,3,15,10,5,5,4,3,9
Hailee Steinfeld,enfj,167,80%,77%,98%,74%,Fe,Ni,Se,Ti,sx/so,631,ESE,SCOAN,FELV,Sanguine [Dominant],115,13,10,12,7,6,12,10,7,7,6,5,10
Charlie Houpert (Charisma on Command),enfj,176,97%,89%,59%,59%,Fe,Ni,Se,Ti,so/sx,359,EIE,SCOAI,XXXX,Sanguine-Melancholic,86,12,8,8,5,0,5,10,2,7,4,0,3
Jean-Luc Mélenchon,enfj,120,100%,87%,80%,72%,Fe,Ni,Se,Ti,so/sx,827,SLE,SLOEI,VEFL,Choleric-Sanguine,63,22,14,11,10,7,25,10,8,9,4,5,21
Kit Connor,enfj,153,74%,97%,97%,92%,Fe,Ni,Se,Ti,sp/so,126,ESE,RCOAI,VELF,Sanguine-Phlegmatic,104,8,11,2,12,3,20,6,3,1,6,2,10
Chloe Grace Moretz,enfj,161,96%,47%,63%,42%,Se,Ni,Se,Ni,sx/so,629,EIE,SCUAI,FELV,Phlegmatic-Sanguine,64,14,12,15,6,2,9,9,7,9,4,2,6
Willem Dafoe,enfj,137,92%,91%,91%,86%,Fe,Ni,Se,Ti,so/sp,251,EIE,SCOAI,FEVL,Melancholic-Phlegmatic,109,8,15,22,7,1,12,5,10,13,7,1,8
Kate Winslet,enfj,142,91%,94%,96%,91%,Fe,Ni,Se,Ti,sx/so,461,EIE,SCOAI,FVEL,Sanguine-Choleric,110,14,13,12,6,3,13,10,10,5,5,2,9
Meghan LeVota,enfj,135,100%,77%,87%,81%,Fe,Ni,Se,Ti,sx/so,268,EIE,SLOAI,EVLF,Choleric [Dominant],89,13,8,27,2,1,10,7,3,13,1,1,6
Q (The Boyz),enfj,141,96%,65%,99%,89%,Fe,Ni,Se,Ti,so/sp,728,EIE,SLOAI,EVLF,Sanguine-Choleric,88,17,16,3,9,6,13,15,10,3,5,4,7
Medea,enfj,128,90%,95%,48%,95%,Fe,Ni,Se,Ti,sx/sp,826,EIE,RLOEI,EVFL,Choleric [Dominant],55,15,12,10,5,7,9,10,6,9,4,3,6
Jessica Chastain,enfj,151,65%,89%,94%,95%,Fe,Ni,Se,Ti,so/sp,259,ESE,SCOAI,XXXX,Sanguine-Choleric,74,9,10,5,8,0,8,6,4,3,4,0,5
Chris Ulmer (Special Books by Special Kids),enfj,128,99%,99%,100%,100%,Fe,Ni,Se,Ti,so/sx,279,ESE,SCOAI,EVFL,Sanguine [Dominant],126,15,12,5,7,1,13,15,10,4,7,1,11
Vivien Leigh,enfj,103,60%,54%,95%,55%,Fe,Ni,Se,Ti,sx/so,478,EIE,SLOAI,EVFL,Sanguine-Melancholic,52,23,13,11,10,4,12,14,6,9,5,3,8
Bono,enfj,130,96%,88%,93%,92%,Fe,Ni,Se,Ti,sx/so,269,EIE,SLOAI,EVFL,Choleric-Sanguine,105,15,13,13,3,1,10,14,5,6,3,1,6
Pope St John Paul II,enfj,120,97%,97%,96%,96%,Fe,Ni,Se,Ti,sx/so,127,EIE,SCOAI,VFLE,Phlegmatic-Melancholic,111,11,11,7,8,7,20,9,6,5,7,3,7
Ewan McGregor,enfj,154,79%,71%,95%,52%,Fe,Ni,Se,Ti,so/sp,479,EIE,SLOAI,EVFL,Sanguine [Dominant],78,5,8,7,2,1,9,5,4,5,2,1,7
Bradley Cooper,enfj,131,85%,94%,98%,95%,Fe,Ni,Se,Ti,so/sx,379,ESE,SCOAI,EVFL,Phlegmatic-Sanguine,101,8,8,14,5,2,8,4,6,6,4,2,4
Jameela Jamil,enfj,127,94%,88%,98%,71%,Fe,Ni,Se,Ti,so/sp,136,ESE,SLOAI,VEFL,Phlegmatic-Sanguine,78,7,8,7,1,1,4,7,3,4,1,1,3
Victoria Justice,enfj,106,87%,85%,94%,97%,Fe,Ni,Se,Ti,so/sx,296,ESE,SCOAN,EFLV,Phlegmatic-Sanguine,69,16,15,17,2,2,15,11,12,9,2,2,12
Yassine Bounou,enfj,154,53%,97%,97%,97%,Fe,Ni,Se,Ti,so/sx,927,ESE,SCOAI,EFVL,Sanguine-Phlegmatic,75,8,4,7,5,3,6,5,3,4,5,2,4
Robert Plant,enfj,121,98%,95%,95%,79%,Fe,Ni,Se,Ti,sx/so,712,EIE,SCUAI,FELV,Sanguine-Phlegmatic,90,12,9,5,9,4,12,8,5,2,5,3,8
Tony Blair,enfj,101,99%,97%,56%,50%,Ne,Ni,Se,Si,so/sx,371,EIE,SCOAI,VELF,Sanguine [Dominant],47,18,17,13,6,1,15,12,12,9,3,1,12
QTCinderella,enfj,116,97%,37%,44%,66%,Fe,Ni,Ne,Ti,so/sx,316,ESE,SLOEN,XXXX,Choleric-Phlegmatic,36,12,17,6,6,0,5,6,5,3,4,0,5
Jacinda Ardern,enfj,110,99%,95%,98%,96%,Fe,Ni,Se,Ti,so/sx,217,EIE,SCOAI,VEFL,Sanguine [Dominant],101,10,8,10,5,7,6,8,7,7,5,5,3
Benji Krol,enfj,115,89%,68%,98%,90%,Fe,Ni,Se,Ti,so/sp,927,ESE,SLOAI,FEVL,Melancholic-Sanguine,61,12,18,5,3,2,9,8,8,4,2,2,6
Noah Beck,enfj,123,96%,57%,95%,91%,Fe,Ni,Se,Ti,so/sp,279,ESE,SCUAN,FELV,Phlegmatic-Sanguine,63,12,13,5,4,2,10,5,4,5,4,1,6
Kang Daniel,enfj,137,94%,50%,99%,50%,Fe,Fi,Te,Ti,sp/sx,927,IEE,SLOAI,EFVL,Sanguine-Melancholic,59,8,8,8,5,4,8,5,5,6,3,2,7
Nina Dobrev,enfj,134,92%,56%,96%,49%,Fe,Fi,Te,Ti,so/sx,739,ESE,SCUAI,XXXX,Sanguine [Dominant],57,9,10,1,2,0,7,5,5,1,1,0,7
Sadhguru Jaggi Vasudev,enfj,125,60%,96%,96%,80%,Fe,Ni,Se,Ti,so/sp,972,EIE,SCOAI,FELV,Phlegmatic [Dominant],59,13,7,6,4,1,6,10,5,3,3,1,5
Abbey Howe,enfj,68,78%,88%,100%,97%,Fe,Ni,Se,Ti,sx/so,369,EIE,SCOAI,XXXX,Sanguine-Phlegmatic,44,16,16,15,7,0,8,14,10,9,4,0,7
Paola Carosella,enfj,107,95%,94%,62%,94%,Fe,Ni,Se,Ti,so/sx,126,EIE,SCOEI,VELF,Choleric-Melancholic,61,16,8,4,8,2,13,11,4,2,4,1,8
Gisele Bündchen,enfj,102,92%,80%,98%,97%,Fe,Ni,Se,Ti,sp/so,379,IEE,SCOAI,XXXX,Phlegmatic-Sanguine,75,10,10,10,1,0,13,7,8,3,1,0,10
Janelle Monáe,enfj,89,63%,93%,100%,89%,Fe,Ni,Se,Ti,sp/sx,471,IEI,SCOAI,EVLF,Sanguine-Melancholic,52,20,13,9,8,1,5,9,10,6,6,1,3
Reese Witherspoon,enfj,115,95%,86%,98%,97%,Fe,Ni,Se,Ti,so/sx,316,EIE,SCOAI,EVFL,Sanguine-Phlegmatic,88,7,7,7,6,4,12,5,5,3,5,3,9
Shallon Lester,enfj,108,99%,75%,53%,97%,Fe,Ni,Se,Ti,so/sp,387,EIE,SLOEN,XXXX,Choleric-Sanguine,45,8,7,13,3,0,6,5,5,6,2,0,5
Lee Chaeyeon,enfj,115,77%,71%,99%,81%,Fe,Ni,Se,Ti,so/sx,216,EIE,SCOAI,EVFL,Melancholic-Sanguine,78,8,9,4,5,1,9,6,6,3,2,1,6
Ryan Trahan,enfj,112,96%,90%,75%,55%,Fe,Ni,Se,Ti,sp/so,792,ESI,SCUAI,EVLF,Sanguine [Dominant],56,13,8,4,5,4,8,6,5,1,4,4,4
Billie Eilish,isfp,2310,92%,91%,84%,97%,Fi,Se,Ni,Te,sx/sp,947,SEI,SLUAN,EFVL,Melancholic-Sanguine,1684,317,285,184,115,67,225,168,137,54,43,40,147
Lana Del Rey,isfp,1942,96%,77%,99%,96%,Fi,Se,Ni,Te,sx/sp,469,IEI,RLUAI,FELV,Melancholic [Dominant],1445,451,276,183,124,87,297,227,149,143,100,54,244
Jungkook (BTS),isfp,2141,98%,83%,88%,95%,Fi,Se,Ni,Te,sx/sp,974,SLI,RCUAI,FEVL,Phlegmatic-Sanguine,1567,273,212,109,93,57,220,177,129,58,63,41,90
Hwang Hyunjin (Stray Kids),isfp,1970,95%,69%,69%,99%,Fi,Se,Ni,Te,sx/sp,748,SEI,SLUAI,VEFL,Phlegmatic-Sanguine,810,180,148,50,53,37,127,140,54,28,28,16,65
Lady Gaga,isfp,1817,88%,51%,96%,54%,Fi,Se,Ni,Te,sx/so,471,EIE,RLOAI,EVFL,Melancholic-Phlegmatic,834,146,103,98,59,39,100,97,63,76,25,20,54
Jennie (BLACKPINK),isfp,1177,96%,86%,84%,95%,Fi,Se,Ni,Te,sp/sx,469,IEI,RLUAI,FLEV,Phlegmatic-Melancholic,823,181,133,68,98,31,137,116,91,41,45,25,103
Marilyn Monroe,isfp,1021,75%,88%,98%,95%,Fi,Se,Ni,Te,sx/sp,639,IEI,RLUAI,FEVL,Melancholic-Sanguine,657,201,163,94,63,50,106,110,59,56,32,28,74
Michael Jackson,isfp,992,96%,87%,98%,96%,Fi,Se,Ni,Te,so/sx,497,IEI,RLOAI,ELFV,Melancholic-Sanguine,830,118,91,60,58,27,93,78,64,39,31,20,71
Lionel Messi,isfp,906,97%,91%,79%,92%,Fi,Se,Ni,Te,sp/sx,936,SLI,RCUAN,FEVL,Phlegmatic-Melancholic,635,97,96,63,55,37,93,69,43,31,33,18,63
Lorde,isfp,733,98%,65%,81%,80%,Fi,Se,Ni,Te,sp/sx,415,IEI,RLOEI,FLEV,Melancholic [Dominant],449,109,108,60,36,19,91,65,51,38,29,15,70
Rihanna,isfp,766,80%,94%,68%,88%,Fi,Se,Ni,Te,sx/sp,947,ESI,RCOEN,FVEL,Phlegmatic-Choleric,441,131,102,78,33,19,99,104,38,44,20,9,42
Conan Gray,isfp,808,99%,70%,83%,80%,Fi,Se,Ni,Te,sx/sp,471,IEI,RLOAI,ELVF,Melancholic-Sanguine,548,134,73,35,46,24,77,66,36,16,22,13,53
Alex Turner,isfp,858,98%,54%,58%,67%,Fi,Se,Ni,Te,sx/sp,459,IEI,RCOAI,FEVL,Phlegmatic-Melancholic,403,98,69,49,26,17,66,78,33,26,14,6,50
Amy Winehouse,isfp,734,55%,97%,60%,98%,Fi,Se,Ni,Te,sx/so,468,SEE,SLUEI,EFVL,Melancholic-Sanguine,365,115,113,47,32,22,69,82,54,39,21,6,52
The Weeknd,isfp,783,96%,70%,68%,72%,Fi,Se,Ni,Te,sx/sp,497,SEI,RLUEI,EFVL,Melancholic [Dominant],491,118,77,51,22,12,89,93,44,27,13,6,71
Britney Spears,isfp,750,76%,94%,99%,95%,Fi,Se,Ni,Te,sp/sx,629,SEI,SLUAN,EFVL,Phlegmatic-Sanguine,545,91,67,70,35,23,71,43,29,36,18,13,35
Halsey,isfp,749,61%,75%,97%,83%,Fi,Se,Ni,Te,sx/sp,478,SEE,SLUAI,EFVL,Choleric-Melancholic,346,99,69,62,23,13,53,67,56,33,10,12,43
Corpse Husband,isfp,620,99%,88%,86%,93%,Fi,Se,Ni,Te,sp/sx,649,SLI,RLUAN,FELV,Melancholic-Sanguine,487,110,133,36,23,14,83,72,79,30,15,7,64
Hirai Momo (TWICE),isfp,708,97%,59%,98%,98%,Fi,Se,Ni,Te,sp/sx,947,SEI,RLUAI,EFVL,Phlegmatic [Dominant],400,78,60,45,36,14,68,66,50,30,28,11,48
Clairo,isfp,565,98%,62%,99%,92%,Fi,Se,Ni,Te,sp/sx,946,SEI,RCUAN,ELFV,Phlegmatic-Sanguine,307,92,85,33,25,10,55,51,50,26,14,5,35
Avril Lavigne,isfp,607,91%,94%,90%,98%,Fi,Se,Ni,Te,sx/sp,946,SEI,RLUAN,VFEL,Phlegmatic-Choleric,506,80,71,51,32,12,60,50,41,25,20,7,45
Lil Peep,isfp,510,96%,82%,98%,90%,Fi,Se,Ni,Te,sx/sp,479,SEI,SLUAN,EFVL,Sanguine-Melancholic,400,98,64,40,28,19,84,37,42,24,16,10,38
Dua Lipa,isfp,607,65%,83%,97%,82%,Fi,Se,Ni,Te,sx/so,694,SEI,SCOAI,VEFL,Phlegmatic-Sanguine,324,72,58,45,15,15,56,34,26,20,11,7,31
XXXTENTACION,isfp,530,83%,78%,94%,94%,Fi,Se,Ni,Te,sx/so,486,EIE,SLUEI,EFVL,Melancholic-Choleric,339,76,61,43,34,18,56,61,31,27,17,12,42
Taeyong (NCT),isfp,539,91%,83%,96%,67%,Fi,Se,Ni,Te,sp/sx,469,EII,RCOAI,EFLV,Melancholic [Dominant],312,65,64,25,29,6,61,50,31,15,13,2,40
Seulgi (Red Velvet),isfp,505,96%,77%,89%,76%,Fi,Se,Ni,Te,sp/so,964,SEI,RCUAI,VEFL,Phlegmatic [Dominant],317,63,51,31,41,26,68,33,30,28,21,14,48
Alexa Demie,isfp,544,48%,74%,81%,65%,Fi,Se,Ni,Te,sp/sx,478,ESI,RCOAI,FEVL,Phlegmatic [Dominant],191,47,48,27,20,20,69,24,14,11,10,9,27
Frank Ocean,isfp,442,99%,79%,99%,97%,Fi,Se,Ni,Te,sp/sx,495,IEI,RLUAI,ELFV,Melancholic [Dominant],343,77,52,36,16,16,57,53,33,29,14,12,50
Zayn Malik,isfp,505,98%,90%,86%,94%,Fi,Se,Ni,Te,sp/sx,495,SEI,RLUAI,FELV,Melancholic-Phlegmatic,386,61,43,29,8,5,44,48,27,12,5,4,34
Sulli,isfp,549,54%,52%,59%,98%,Fi,Se,Ni,Te,sx/so,974,IEE,SLUAI,FEVL,Sanguine-Melancholic,278,49,44,20,22,7,32,36,23,10,20,5,26
Kai (EXO),isfp,609,99%,47%,96%,51%,Fi,Se,Ni,Te,sx/sp,469,ESI,RLOAI,FEVL,Melancholic-Phlegmatic,278,36,26,27,9,7,26,26,16,12,8,3,22
Frida Kahlo,isfp,423,96%,92%,96%,98%,Fi,Se,Ni,Te,sx/sp,468,SEI,SLUEI,FEVL,Melancholic-Sanguine,373,63,44,29,18,14,56,54,34,18,10,14,26
Yang Jeongin “I.N” (Stray Kids),isfp,496,94%,91%,87%,52%,Fi,Se,Ni,Te,sp/so,947,SEI,RLOAN,FEVL,Phlegmatic [Dominant],238,53,44,21,29,9,56,48,35,15,18,5,30
Brad Pitt,isfp,478,82%,94%,79%,91%,Fi,Se,Ni,Te,sp/sx,973,SEI,RCUEN,FVEL,Phlegmatic-Sanguine,319,37,40,33,15,12,26,20,16,15,5,5,14
Frédéric Chopin,isfp,390,99%,72%,98%,97%,Fi,Se,Ni,Te,sx/sp,461,IEI,RLOAI,ELVF,Melancholic [Dominant],280,76,38,29,14,11,53,53,11,22,8,7,45
girl in red,isfp,379,96%,84%,98%,98%,Fi,Se,Ni,Te,so/sp,496,IEE,RLUAI,ELFV,Melancholic [Dominant],304,43,39,16,6,5,45,19,20,6,6,2,26
King Charles III,isfp,449,93%,88%,85%,53%,Fi,Se,Ni,Te,sp/sx,471,ESI,RLOEI,EFVL,Phlegmatic-Melancholic,182,32,33,32,13,5,27,20,13,11,7,2,17
Lily-Rose Depp,isfp,327,82%,91%,89%,92%,Fi,Se,Ni,Te,so/sx,479,SEI,RCOAI,EFLV,Phlegmatic [Dominant],219,33,38,18,23,10,46,21,19,9,9,5,27
Jack Harlow,isfp,424,37%,64%,58%,99%,Fi,Ti,Fe,Si,so/sx,379,SEE,SCUAI,FELV,Phlegmatic-Sanguine,140,28,29,14,14,6,20,18,10,10,5,3,10
June Lapine (Shoe0nHead),isfp,311,54%,49%,56%,96%,Fi,Se,Ni,Te,so/sx,692,SEI,RLUAN,FELV,Phlegmatic-Sanguine,122,46,49,27,18,13,32,23,20,10,10,11,25
Arthur Aguiar (BBB22),isfp,361,94%,94%,53%,93%,Fi,Se,Ni,Te,sx/sp,639,SLI,RCOEN,LFVE,Phlegmatic-Choleric,169,32,40,21,25,14,40,20,19,11,15,7,17
Mina Le,isfp,369,89%,49%,52%,49%,Fi,Se,Ni,Te,sp/so,351,IEE,SCOAI,LFVE,Melancholic-Sanguine,169,38,40,15,19,8,31,33,18,6,14,4,25
Mike Tyson,isfp,315,77%,94%,71%,97%,Fi,Se,Ni,Te,sx/so,684,SEE,RCOAI,FVLE,Choleric-Melancholic,195,41,34,50,24,12,34,23,19,20,8,6,15
Yuzuru Hanyu,isfp,326,96%,85%,97%,89%,Fi,Se,Ni,Te,sp/so,469,EIE,RCOAI,EVLF,Phlegmatic-Sanguine,262,49,28,18,13,3,22,37,12,6,5,3,14
Chase Hudson (lilhuddy),isfp,466,51%,96%,95%,96%,Fi,Se,Ni,Te,so/sx,497,SEE,RLUAN,FVLE,Sanguine-Melancholic,221,20,18,14,7,4,20,11,6,9,4,2,13
Bella Poarch,isfp,344,95%,67%,94%,93%,Fi,Se,Ni,Te,sp/sx,649,SEI,RCUAN,FEVL,Phlegmatic-Melancholic,199,39,38,26,13,7,31,15,12,16,10,5,21
THE8 (SEVENTEEN),isfp,313,98%,80%,86%,81%,Fi,Se,Ni,Te,sp/sx,496,IEI,RLOEI,FLVE,Melancholic [Dominant],211,48,39,19,11,4,22,42,20,12,9,2,20
Jennette McCurdy,isfp,316,97%,73%,46%,89%,Ti,Se,Ni,Fe,sp/so,694,SEI,RCUAI,ELFV,Melancholic-Sanguine,121,50,49,20,26,10,25,35,27,8,11,3,21
Prince,isfp,288,97%,92%,98%,93%,Fi,Se,Ni,Te,sx/sp,487,EIE,RLUEI,EVFL,Sanguine-Melancholic,256,53,39,27,14,10,27,47,30,22,9,6,21
FKA twigs,isfp,258,99%,94%,100%,97%,Fi,Se,Ni,Te,sx/so,496,IEI,RCOAI,VLEF,Melancholic-Phlegmatic,241,56,40,20,13,12,17,41,18,16,9,5,17
Playboi Carti,isfp,277,97%,98%,68%,97%,Fi,Se,Ni,Te,sp/sx,479,SEI,RCUEI,EFVL,Phlegmatic-Melancholic,181,47,47,21,21,8,29,35,19,14,16,8,24
Christina Aguilera,isfp,278,59%,69%,95%,67%,Fi,Se,Ni,Te,sx/so,479,ESI,SLOEN,FVEL,Sanguine-Choleric,154,44,34,30,14,5,32,38,25,20,5,4,21
Sapnap,isfp,290,96%,99%,88%,99%,Fi,Se,Ni,Te,so/sp,936,SLI,RLUAN,FLEV,Sanguine-Choleric,248,38,20,17,15,5,29,28,14,14,11,3,21
Adam Sandler,isfp,365,66%,90%,92%,73%,Fi,Se,Ni,Te,sp/sx,693,SEI,SLUAI,FELV,Sanguine [Dominant],160,25,17,27,6,4,23,21,13,24,3,3,17
Hwasa (MAMAMOO),isfp,347,51%,81%,96%,99%,Fi,Fi,Te,Te,sp/sx,396,SEE,SLUAN,VEFL,Phlegmatic-Choleric,149,35,20,21,12,5,23,20,5,7,5,3,7
Julian Casablancas,isfp,300,94%,57%,93%,98%,Fi,Se,Ni,Te,sx/sp,495,IEI,RLUEI,FVEL,Phlegmatic [Dominant],145,30,29,17,10,5,33,18,11,10,5,3,14
Jimi Hendrix,isfp,291,98%,86%,99%,99%,Fi,Se,Ni,Te,sx/sp,947,SEI,RCUAI,LEVF,Phlegmatic-Sanguine,250,31,32,23,20,10,21,24,24,16,9,4,21
Vernon (SEVENTEEN),isfp,288,91%,77%,88%,97%,Fi,Se,Ni,Te,sp/so,945,SLI,RCUEI,FVEL,Phlegmatic [Dominant],194,35,39,19,21,4,24,33,24,16,12,3,20
Sunmi,isfp,307,98%,62%,100%,98%,Fi,Se,Ni,Te,sx/so,478,EIE,SLUAI,ELFV,Sanguine-Melancholic,186,32,25,22,10,5,31,29,16,18,7,4,26
Ten (WayV) (NCT),isfp,313,59%,88%,97%,91%,Fi,Se,Ni,Te,sp/sx,378,SEE,SCUAI,ELFV,Choleric-Melancholic,155,29,24,11,8,5,22,20,13,9,8,4,14
Charles Bukowski,isfp,237,96%,87%,74%,98%,Fi,Se,Ni,Te,sx/sp,947,ILI,RLUEI,FEVL,Melancholic-Choleric,148,41,38,31,12,12,28,23,12,12,6,5,17
Giselle (aespa),isfp,303,60%,86%,92%,90%,Fi,Se,Ni,Te,so/sx,973,SEI,SCOAI,EVLF,Sanguine-Phlegmatic,139,31,26,11,18,12,34,21,14,8,11,6,22
Dakota Johnson,isfp,270,96%,81%,97%,86%,Fi,Se,Ni,Te,sp/sx,964,SEI,SCOAI,FELV,Phlegmatic [Dominant],205,27,20,15,4,2,23,24,20,10,2,2,17
Kennedy Walsh,isfp,269,96%,51%,99%,99%,Fi,Se,Ni,Te,sp/sx,469,SEI,RLUAI,EVFL,Melancholic [Dominant],134,33,24,11,10,2,21,17,10,5,8,2,9
Lee Taemin (SHINee),isfp,281,99%,73%,96%,98%,Fi,Se,Ni,Te,sx/so,369,IEI,RCUAI,EFVL,Phlegmatic-Melancholic,193,34,27,16,11,7,22,20,16,12,9,4,18
Achilles,isfp,230,74%,96%,92%,97%,Fi,Se,Ni,Te,sx/so,487,SEE,RLUEN,FVEL,Choleric [Dominant],162,26,40,10,10,8,24,14,18,5,5,4,13
Emma Myers,isfp,294,87%,49%,99%,98%,Fi,Se,Ni,Te,so/sp,137,IEI,RLOAI,EFLV,Melancholic-Sanguine,132,24,31,10,6,7,26,9,9,3,5,5,12
Sebastian Stan,isfp,253,95%,93%,91%,98%,Fi,Se,Ni,Te,sp/sx,926,SEI,RCUAN,FELV,Phlegmatic [Dominant],218,29,24,6,9,3,31,27,14,5,3,2,19
Hunter Schafer,isfp,220,80%,81%,93%,92%,Fi,Se,Ni,Te,sp/sx,479,IEE,SCUAI,EFVL,Sanguine-Phlegmatic,157,20,33,16,12,4,27,15,27,8,6,3,23
San (ATEEZ),isfp,279,93%,64%,98%,98%,Fi,Se,Ni,Te,sx/sp,649,IEI,RLUAI,EVFL,Phlegmatic-Sanguine,170,35,22,17,7,5,14,26,15,14,5,4,9
Troye Sivan,isfp,257,89%,54%,100%,97%,Fi,Se,Ni,Te,sx/so,947,SEI,RLUAI,FEVL,Phlegmatic-Melancholic,137,24,27,18,13,2,14,16,10,13,8,2,9
Michelangelo Buonarroti,isfp,240,89%,63%,67%,72%,Fi,Se,Ni,Te,sp/sx,458,SEI,RCUEI,VEFL,Melancholic-Phlegmatic,124,26,23,24,8,7,17,14,17,8,3,3,8
Ryan Gosling,isfp,226,95%,82%,77%,92%,Fi,Se,Ni,Te,sp/so,973,SLI,RCUAN,FLVE,Phlegmatic-Sanguine,150,28,22,17,14,8,20,14,15,8,6,6,12
Willow Smith,isfp,216,96%,87%,96%,96%,Fi,Se,Ni,Te,sx/sp,479,IEI,RLUAI,EFVL,Sanguine-Melancholic,173,18,25,11,4,4,24,13,17,8,4,3,16
Kali Uchis,isfp,193,94%,87%,99%,97%,Fi,Se,Ni,Te,sx/sp,479,SEI,RCUAI,EFVL,Phlegmatic-Sanguine,156,32,25,16,6,6,23,27,14,12,4,4,20
Justin Timberlake,isfp,211,60%,74%,96%,93%,Fi,Se,Ni,Te,so/sx,379,SEI,SCOAN,ELVF,Sanguine-Melancholic,110,20,19,12,3,3,19,18,7,5,2,2,8
Sir Lewis Hamilton,isfp,187,65%,90%,94%,90%,Fi,Se,Ni,Te,sx/so,358,SEE,SLUEI,FVEL,Sanguine [Dominant],109,19,25,11,10,6,19,11,12,6,5,2,8
James Dean,isfp,178,94%,89%,88%,98%,Fi,Se,Ni,Te,sx/sp,497,IEI,RCUAI,FEVL,Melancholic-Sanguine,136,28,23,15,12,5,15,19,11,7,6,5,7
Jared Leto,isfp,197,95%,79%,87%,84%,Fi,Se,Ni,Te,sx/so,471,IEI,RCUEI,ELVF,Phlegmatic [Dominant],140,20,20,18,7,3,12,15,9,8,5,2,7
Narcissus,isfp,153,81%,84%,84%,87%,Fi,Se,Ni,Te,sx/so,417,EIE,SLUEN,FEVL,Sanguine [Dominant],118,29,26,12,10,8,15,18,10,5,5,6,7
Steven Spielberg,isfp,198,66%,70%,90%,93%,Fi,Se,Ni,Te,sx/sp,792,ILE,SCUAI,EFVL,Phlegmatic-Sanguine,109,18,17,15,8,3,14,13,10,7,7,2,7
Michelangelo Caravaggio,isfp,180,68%,84%,77%,86%,Fi,Se,Ni,Te,sx/sp,845,SLE,SLUEI,FLEV,Choleric [Dominant],86,27,22,12,4,1,15,21,10,5,3,1,9
Ester Expósito,isfp,170,78%,70%,68%,72%,Fi,Se,Ni,Te,sx/so,479,ESE,RCOAI,FEVL,Phlegmatic [Dominant],88,20,24,10,12,4,29,12,13,5,6,2,20
Amberlynn Reid,isfp,168,54%,96%,98%,97%,Fi,Se,Ni,Te,so/sx,973,SEI,SLUEN,FEVL,Sanguine-Melancholic,87,28,24,11,6,5,13,12,6,5,5,3,9
Zoë Kravitz,isfp,194,57%,55%,96%,94%,Fi,Se,Ni,Te,sp/sx,479,SLI,SCUAI,EFVL,Melancholic-Sanguine,99,17,16,6,3,2,22,14,13,3,2,2,11
Jake Tuonto (Tuonto),isfp,214,96%,56%,54%,63%,Fi,Se,Ni,Te,sp/so,649,SLI,RCUAI,ELFV,Phlegmatic-Sanguine,109,20,12,6,8,5,9,16,6,4,5,1,9
Kim Chaewon (LE SSERAFIM),isfp,186,95%,94%,74%,97%,Fi,Se,Ni,Te,so/sp,964,SEI,RCUAI,FELV,Phlegmatic [Dominant],121,14,19,8,16,4,22,12,10,8,9,4,17
Chino Moreno,isfp,152,98%,57%,97%,60%,Fi,Se,Ni,Te,sx/sp,964,SEI,RCUAI,FLEV,Melancholic-Sanguine,82,28,17,17,9,7,21,25,8,8,4,5,8
Lil Uzi Vert,isfp,141,87%,85%,95%,94%,Fi,Se,Ni,Te,sx/sp,478,EIE,RLUEI,EFVL,Sanguine-Melancholic,105,23,20,17,14,7,23,15,14,12,8,7,15
Sappho,isfp,170,94%,94%,99%,99%,Fi,Se,Ni,Te,sx/so,479,IEI,RLUAI,ELFV,Melancholic-Phlegmatic,148,18,13,11,9,5,14,16,10,7,4,2,13
Hong Eunchae (LE SSERAFIM),isfp,146,58%,97%,98%,88%,Fi,Se,Ni,Te,so/sp,479,SEI,SLUAI,VEFL,Sanguine [Dominant],77,27,20,9,15,8,28,18,7,7,6,6,15
Taylor Momsen,isfp,136,93%,93%,82%,98%,Fi,Se,Ni,Te,sx/sp,468,ESI,RLUEI,EVFL,Melancholic-Choleric,104,26,28,15,11,6,18,17,17,7,7,4,14
